name,16 bytes,64 bytes,256 bytes,1024 bytes,8192 bytes,16384 bytes
md5,23.5,70.6,160.2,233.7,271.4,274.3
sha1,20.8,60.9,132.3,190.3,217.1,219.3
sha256,18.5,50.7,105.3,143.5,161.3,162.2
sha512,15.7,63.4,122.4,192.0,230.7,233.5
blake2s256,16.0,65.1,179.9,259.8,298.2,300.0
blake2b512,16.0,65.1,179.9,259.8,298.2,300.0
sha3-256,10.5,42.1,105.9,130.9,147.7,149.7
sha3-512,10.4,41.7,60.6,73.0,80.0,80.2
